# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
0            0            2
0            1            3
0            1            4
1            1            5
1            2            6
1            2            7
2            3            8
3            3            9
4            3            10
5            3            11
6            3            12
7            3            13
8            3            14
9            3            15
9            3            16
9            4            17
9            4            18
9            5            19
9            6            20
9            7            21
9            7            22
9            7            23
9            8            24
9            8            25
9            8            26
11            8            27
12            8            28
13            8            29
14            8            30
