# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
1            0            2
1            1            3
1            1            4
2            1            5
3            1            6
4            1            7
6            1            8
7            1            9
7            1            10
7            1            11
7            1            12
8            1            13
9            1            14
9            1            15
9            1            16
10            1            17
11            1            18
12            1            19
13            1            20
13            1            21
14            1            22
15            1            23
17            1            24
18            1            25
18            1            26
19            1            27
20            1            28
21            1            29
22            1            30
