# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
1            0            2
2            0            3
3            0            4
4            0            5
5            0            6
5            1            7
5            2            8
6            2            9
7            2            10
8            2            11
9            2            12
10            2            13
11            2            14
12            2            15
12            3            16
12            4            17
12            4            18
13            4            19
14            4            20
