# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
0            0            2
1            0            3
2            0            4
2            1            5
2            2            6
2            3            7
2            4            8
2            5            9
2            6            10
2            6            11
2            7            12
2            8            13
2            8            14
2            9            15
3            8            16
3            8            17
3            9            18
3            10            19
3            10            20
3            10            21
3            10            22
3            10            23
3            11            24
3            12            25
3            12            26
3            13            27
3            13            28
3            14            29
3            14            30
