# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
0            0            2
0            1            3
0            1            4
0            2            5
0            3            6
0            4            7
0            5            8
0            6            9
0            7            10
0            7            11
0            8            12
0            9            13
0            10            14
1            9            15
1            9            16
1            10            17
1            11            18
1            11            19
1            12            20
1            13            21
1            14            22
1            14            23
1            16            24
1            17            25
1            18            26
1            20            27
1            21            28
1            22            29
1            22            30
